ETA,actor_loss,bacth_reward,critic_loss,critic_q,critic_target_q,episode,episode_length,episode_reward,episode_sr,fps,frame,step,total_time
20851.42936706543,0.8717355132102966,-0.734375,0.16999268531799316,-0.9056179523468018,-0.8989711999893188,101.0,10.0,-10.0,0.0,4.747875949279969,1010,1010.0,149.44785404205322
18386.741866111755,0.90283203125,-0.734375,0.18098986148834229,-0.949461042881012,-1.0177315473556519,102.0,10.0,-10.0,0.0,5.383770584305996,1020,1020.0,151.30700278282166
17486.006335258484,0.9845378994941711,-0.75,0.2027854472398758,-0.9665446281433105,-1.1212037801742554,103.0,10.0,-10.0,0.0,5.660526371903368,1030,1030.0,153.07500052452087
18120.492351293564,1.2404967546463013,-0.78125,0.16452406346797943,-1.3108762502670288,-1.2505406141281128,104.0,10.0,-10.0,0.0,5.461772124140702,1040,1040.0,154.9074342250824
18820.42904472351,1.1164655685424805,-0.71875,0.16735707223415375,-1.1412900686264038,-1.2684948444366455,105.0,10.0,-10.0,0.0,5.258116048515078,1050,1050.0,156.81060028076172
19817.96066761017,1.2807780504226685,-0.703125,0.1323106735944748,-1.4062062501907349,-1.3650003671646118,106.0,10.0,-10.0,0.0,4.992945624406283,1060,1060.0,158.81483697891235
19344.592685222626,1.3326307535171509,-0.65625,0.16834528744220734,-1.4111183881759644,-1.3864473104476929,107.0,10.0,-10.0,0.0,5.1146075603639085,1070,1070.0,160.77150201797485
21752.00986456871,1.4422943592071533,-0.640625,0.15512306988239288,-1.5627145767211914,-1.4614828824996948,108.0,10.0,-10.0,0.0,4.548085469616512,1080,1080.0,162.97171807289124
19749.72012424469,1.7823705673217773,-0.78125,0.1342036873102188,-1.774011492729187,-1.6785380840301514,109.0,10.0,-10.0,0.0,5.008678572541701,1090,1090.0,164.96962642669678
20144.289984226227,1.685935616493225,-0.703125,0.1300063282251358,-1.7019319534301758,-1.6888049840927124,110.0,10.0,-10.0,0.0,4.910076258704101,1100,1100.0,167.0077736377716
18258.79056453705,1.8376680612564087,-0.625,0.17741966247558594,-1.9454900026321411,-1.7267738580703735,111.0,10.0,-10.0,0.0,5.416569057541387,1110,1110.0,168.8554515838623
19819.09272503853,1.9176197052001953,-0.75,0.13941822946071625,-2.0088138580322266,-1.9308451414108276,112.0,10.0,-10.0,0.0,4.989633045869296,1120,1120.0,170.8610336780548
18888.05406188965,1.9391965866088867,-0.71875,0.12714603543281555,-1.88359534740448,-1.9492021799087524,113.0,10.0,-10.0,0.0,5.2350549016857055,1130,1130.0,172.77277326583862
