ETA,actor_loss,bacth_reward,critic_loss,critic_q1,critic_q2,critic_q_min,critic_target_q,episode,episode_length,episode_reward,episode_sr,fps,frame,step,total_time
13964.96955871582,2.2826550006866455,-0.578125,0.04016357660293579,-2.1475796699523926,-2.127920389175415,-2.1804049015045166,-2.1345291137695312,3041.0,10.0,-6.0,1.0,4.9838991561969594,30410,30410.0,232.39065599441528
14567.973928928375,1.993779182434082,-0.390625,0.020678652450442314,-1.8249626159667969,-1.8603838682174683,-1.872009515762329,-1.8320631980895996,3042.0,10.0,-6.0,1.0,4.776916840976188,30420,30420.0,234.4854679107666
15317.805985927582,2.0536646842956543,-0.46875,0.04646787792444229,-1.937333106994629,-1.945746660232544,-1.97954523563385,-1.9594454765319824,3043.0,10.0,-4.0,1.0,4.542425988677682,30430,30430.0,236.6885404586792
13715.10625576973,2.146543025970459,-0.40625,0.019655276089906693,-1.973699927330017,-2.002244710922241,-2.0156302452087402,-1.9676260948181152,3044.0,10.0,-2.0,1.0,5.072509005953417,30440,30440.0,238.6613962650299
13920.453066825867,1.863936424255371,-0.375,0.08575882762670517,-1.7600349187850952,-1.7370949983596802,-1.7864396572113037,-1.7923723459243774,3045.0,10.0,-3.0,1.0,4.996963796082897,30450,30450.0,240.66420245170593
14441.655790805817,1.897977352142334,-0.34375,0.02223796956241131,-1.7575527429580688,-1.7680341005325317,-1.7848718166351318,-1.7255120277404785,3046.0,10.0,-5.0,1.0,4.815929766466152,30460,30460.0,242.7420494556427
14570.75073337555,2.1285903453826904,-0.46875,0.04123559594154358,-2.0216047763824463,-2.046832323074341,-2.059389591217041,-2.0474886894226074,3047.0,10.0,-6.0,1.0,4.77257495323921,30470,30470.0,244.83890175819397
13861.137005090714,1.9277710914611816,-0.34375,0.027295507490634918,-1.7736248970031738,-1.7894314527511597,-1.8099437952041626,-1.776679277420044,3048.0,10.0,-7.0,1.0,5.016183014024322,30480,30480.0,246.83384227752686
13595.109258651733,2.0712761878967285,-0.390625,0.008219647221267223,-1.9237051010131836,-1.9274623394012451,-1.946222186088562,-1.9222395420074463,3049.0,10.0,-4.0,1.0,5.113603625933235,30490,30490.0,248.79079675674438
13867.603827238083,2.0809004306793213,-0.421875,0.02193448692560196,-2.004833459854126,-1.9800629615783691,-2.0283939838409424,-1.9549963474273682,3050.0,10.0,-4.0,1.0,5.01240162799227,30500,30500.0,250.7872519493103
14399.788749217987,1.8522464036941528,-0.34375,0.014967046678066254,-1.706461787223816,-1.682385802268982,-1.7260591983795166,-1.6835689544677734,3051.0,10.0,-3.0,1.0,4.826459693985049,30510,30510.0,306.10368251800537
13938.122016191483,2.22705078125,-0.46875,0.013420392759144306,-2.082369089126587,-2.084444761276245,-2.1116714477539062,-2.0847644805908203,3052.0,10.0,-5.0,1.0,4.985607093930993,30520,30520.0,308.1108281612396
14640.940913200378,1.6788604259490967,-0.390625,0.0855616107583046,-1.5680193901062012,-1.63369882106781,-1.6534082889556885,-1.584113359451294,3053.0,10.0,-8.0,1.0,4.7455966397184435,30530,30530.0,310.2194004058838
14342.335562229156,2.1666483879089355,-0.453125,0.01638070121407509,-2.049518585205078,-1.9890894889831543,-2.051971673965454,-2.051837205886841,3054.0,10.0,-5.0,1.0,4.843702038526467,30540,30540.0,312.28536915779114
14439.710531234741,2.046232223510742,-0.40625,0.041171468794345856,-1.9034372568130493,-1.937983512878418,-1.9653162956237793,-1.9015361070632935,3055.0,10.0,-6.0,1.0,4.8103457371773555,30550,30550.0,314.36563181877136
13421.518031358719,2.400982618331909,-0.53125,0.040654897689819336,-2.2378571033477783,-2.2589848041534424,-2.2879271507263184,-2.224477767944336,3056.0,10.0,-3.0,1.0,5.174526446094509,30560,30560.0,316.29971837997437
15419.643653869629,2.149606466293335,-0.40625,0.10489749908447266,-2.019930124282837,-2.009408950805664,-2.052457332611084,-2.019834280014038,3057.0,10.0,-7.0,1.0,4.503346611552448,30570,30570.0,318.52170276641846
13743.705301523209,2.138784170150757,-0.40625,0.041984595358371735,-1.9946436882019043,-2.016866683959961,-2.0469653606414795,-1.9927382469177246,3058.0,10.0,-9.0,1.0,5.051767225560716,30580,30580.0,320.50248503685
13550.195763587952,2.362220525741577,-0.453125,0.023293672129511833,-2.2166409492492676,-2.2413010597229004,-2.2621467113494873,-2.22822904586792,3059.0,10.0,-4.0,1.0,5.1231732154413026,30590,30590.0,322.4558165073395
14084.212718248367,2.095024347305298,-0.390625,0.06282687932252884,-1.9851621389389038,-1.9147305488586426,-1.9958158731460571,-1.9514639377593994,3060.0,10.0,-3.0,1.0,4.928212984888261,30600,30600.0,324.4863312244415
13542.214937210083,2.216994047164917,-0.4375,0.029055815190076828,-2.0265488624572754,-2.0192081928253174,-2.0528640747070312,-2.0278170108795166,3061.0,10.0,-6.0,1.0,5.124715589124857,30610,30610.0,379.21498131752014
13694.689010381699,1.8844316005706787,-0.421875,0.014158927835524082,-1.7907558679580688,-1.794505000114441,-1.8212547302246094,-1.8056855201721191,3062.0,10.0,-5.0,1.0,5.066927766479157,30620,30620.0,381.1900396347046
13520.910643577576,2.051177501678467,-0.421875,0.020132169127464294,-1.8876365423202515,-1.887562870979309,-1.9201140403747559,-1.8743953704833984,3063.0,10.0,-2.0,1.0,5.131311183759317,30630,30630.0,383.14031624794006
13553.513651132584,2.0346498489379883,-0.390625,0.037637315690517426,-1.9282177686691284,-1.950995922088623,-1.9664050340652466,-1.943671703338623,3064.0,10.0,-6.0,1.0,5.118229987115051,30640,30640.0,385.0954053401947
13327.56015586853,2.241312026977539,-0.4375,0.033322736620903015,-2.1164276599884033,-2.1041877269744873,-2.1358981132507324,-2.076113700866699,3065.0,10.0,-2.0,1.0,5.204253380875469,30650,30650.0,387.0182762145996
14585.460233688354,1.5643532276153564,-0.296875,0.042703792452812195,-1.4848065376281738,-1.503993272781372,-1.5235984325408936,-1.4663372039794922,3066.0,10.0,-3.0,1.0,4.754735119007132,30660,30660.0,389.1228165626526
14465.747162342072,1.8920252323150635,-0.34375,0.01512126810848713,-1.780747413635254,-1.788434624671936,-1.8056946992874146,-1.7587394714355469,3067.0,10.0,-5.0,1.0,4.793392226604736,30670,30670.0,391.2103912830353
13115.868727684021,2.1159162521362305,-0.390625,0.021114084869623184,-1.9638748168945312,-1.9728946685791016,-1.9944268465042114,-1.9763944149017334,3068.0,10.0,-4.0,1.0,5.285963243415457,30680,30680.0,393.10357880592346
15298.662989616394,1.6537214517593384,-0.4375,0.07938118278980255,-1.5713355541229248,-1.5725691318511963,-1.6194581985473633,-1.615999698638916,3069.0,10.0,-7.0,1.0,4.531114911613473,30690,30690.0,395.3119385242462
14031.08166885376,2.0648345947265625,-0.328125,0.01700385846197605,-1.9089099168777466,-1.8890440464019775,-1.9275538921356201,-1.901896357536316,3070.0,10.0,-8.0,1.0,4.939747457521722,30700,30700.0,397.33770394325256
13941.055626869202,2.024733543395996,-0.40625,0.006397182121872902,-1.882698893547058,-1.8648831844329834,-1.8903728723526,-1.8506190776824951,3071.0,10.0,-3.0,1.0,4.970929164534363,30710,30710.0,451.9497389793396
13202.449129581451,2.059872627258301,-0.421875,0.01945100724697113,-1.8921613693237305,-1.9178476333618164,-1.930640697479248,-1.8884451389312744,3072.0,10.0,-5.0,1.0,5.248268659846498,30720,30720.0,453.8566646575928
