ETA,actor_loss,bacth_reward,critic_loss,critic_q1,critic_q2,critic_q_avg,critic_target_q,episode,episode_length,episode_reward,episode_sr,fps,frame,step,total_time
25576.859840154648,0.18502222001552582,-0.171875,0.029401209205389023,-0.18065619468688965,-0.20480644702911377,-0.1927313208580017,-0.18299055099487305,2016.0,10.0,-4.0,1.0,3.121962606005241,20160,20160.0,3.2198023796081543
20734.787803649902,0.3700340986251831,-0.265625,0.002844257513061166,-0.3648556172847748,-0.35802406072616577,-0.36143985390663147,-0.36438870429992676,2017.0,10.0,-3.0,1.0,3.8505337385678926,20170,20170.0,5.8260722160339355
15825.907933473587,0.523073673248291,-0.265625,0.001282324199564755,-0.45206594467163086,-0.45099568367004395,-0.4515308141708374,-0.44590187072753906,2018.0,10.0,-5.0,1.0,5.044260356851344,20180,20180.0,7.809750080108643
15293.709034919739,0.4162127375602722,-0.25,0.003531253896653652,-0.3809076249599457,-0.39408817887306213,-0.3874979317188263,-0.37870436906814575,2019.0,10.0,-4.0,1.0,5.21913943947469,20190,20190.0,9.727065324783325
14871.311944007874,0.41099655628204346,-0.1875,0.002096470445394516,-0.380596786737442,-0.3902548551559448,-0.3854258060455322,-0.38467279076576233,2020.0,10.0,-3.0,1.0,5.366708754445703,20200,20200.0,11.591612577438354
14485.275793075562,0.6150412559509277,-0.234375,0.002396515104919672,-0.5503106117248535,-0.5661888122558594,-0.5582497119903564,-0.5446550250053406,2021.0,10.0,-7.0,1.0,5.509042502190192,20210,20210.0,62.45872473716736
15152.643580913544,0.6411261558532715,-0.296875,0.02738529071211815,-0.5863162875175476,-0.5910653471946716,-0.5886908769607544,-0.5795128345489502,2022.0,10.0,-6.0,1.0,5.265747826372981,20220,20220.0,64.35893440246582
14799.424110889435,1.0287318229675293,-0.390625,0.010192548856139183,-0.9439387917518616,-0.9351295232772827,-0.9395341277122498,-0.9200615286827087,2023.0,10.0,-10.0,0.0,5.390750302324114,20230,20230.0,66.21512460708618
15036.08767747879,0.6743670105934143,-0.328125,0.008157484233379364,-0.7038044929504395,-0.6888736486434937,-0.6963390111923218,-0.688824474811554,2024.0,10.0,-6.0,1.0,5.30523642260216,20240,20240.0,68.1018214225769
16330.956146240234,0.901641845703125,-0.28125,0.0034581422805786133,-0.7854839563369751,-0.7947049140930176,-0.7900944352149963,-0.7916156649589539,2025.0,10.0,-4.0,1.0,4.883976130103234,20250,20250.0,70.15054678916931
14760.598039627075,0.7824894189834595,-0.421875,0.00952194444835186,-0.7760263085365295,-0.7703275680541992,-0.7731769680976868,-0.7841345071792603,2026.0,10.0,-2.0,1.0,5.402897618775267,20260,20260.0,72.0094723701477
14977.771039009094,0.9292352795600891,-0.359375,0.008259567432105541,-0.8545366525650024,-0.8453819155693054,-0.8499592542648315,-0.8413505554199219,2027.0,10.0,-6.0,1.0,5.323889635668745,20270,20270.0,73.8889594078064
14261.399071931839,1.2010383605957031,-0.484375,0.008983869105577469,-1.089524507522583,-1.090837001800537,-1.0901806354522705,-1.0713534355163574,2028.0,10.0,-6.0,1.0,5.590615590928824,20280,20280.0,75.6788740158081
15065.942333221436,1.1365294456481934,-0.453125,0.011119795963168144,-1.0752915143966675,-1.0718798637390137,-1.0735857486724854,-1.0621904134750366,2029.0,10.0,-10.0,0.0,5.291404827974945,20290,20290.0,77.57005500793457
14643.034018993378,1.3722718954086304,-0.40625,0.023616932332515717,-1.2202420234680176,-1.230567216873169,-1.2254047393798828,-1.2424561977386475,2030.0,10.0,-3.0,1.0,5.443544001646702,20300,20300.0,79.40830564498901
14987.49061346054,1.0802034139633179,-0.375,0.01553389523178339,-0.9557228088378906,-0.9788299798965454,-0.9672764539718628,-0.9720758199691772,2031.0,10.0,0.0,1.0,5.317768134474758,20310,20310.0,129.05115962028503
14628.478884458542,1.0638291835784912,-0.359375,0.011119561269879341,-0.9849604368209839,-1.0075992345809937,-0.9962798953056335,-0.9984334707260132,2032.0,10.0,-2.0,1.0,5.447593056627613,20320,20320.0,130.88800168037415
14785.087394714355,0.9865453839302063,-0.390625,0.027158653363585472,-0.9214754104614258,-0.9226894378662109,-0.9220823645591736,-0.9464301466941833,2033.0,10.0,0.0,1.0,5.389214001432651,20330,20330.0,132.74470472335815
16182.148174285889,0.6116163730621338,-0.28125,0.04153642803430557,-0.5933135747909546,-0.5666252970695496,-0.5799694061279297,-0.5798435211181641,2034.0,10.0,-3.0,1.0,4.92332656591286,20340,20340.0,134.77733087539673
14514.18895816803,0.6994640827178955,-0.3125,0.01418076828122139,-0.6159601807594299,-0.6096624135971069,-0.6128113269805908,-0.614128828048706,2035.0,10.0,-1.0,1.0,5.488422414066092,20350,20350.0,136.60059475898743
16633.410065174103,0.9888273477554321,-0.359375,0.00821080431342125,-0.8786106705665588,-0.890326976776123,-0.8844687938690186,-0.8785370588302612,2036.0,10.0,-3.0,1.0,4.788555064049417,20360,20360.0,138.6966245174408
15251.952116012573,0.6155312061309814,-0.265625,0.013159161433577538,-0.517363965511322,-0.5235944986343384,-0.5204792022705078,-0.4936051368713379,2037.0,10.0,-4.0,1.0,5.22162667403003,20370,20370.0,140.61332964897156
15263.550720214844,0.8591248989105225,-0.359375,0.032593294978141785,-0.8460990190505981,-0.8475861549377441,-0.8468425869941711,-0.8426066637039185,2038.0,10.0,-7.0,1.0,5.217003661837287,20380,20380.0,142.53145098686218
14633.004209518433,0.8658784627914429,-0.296875,0.040585048496723175,-0.8233261108398438,-0.7828546166419983,-0.8030903339385986,-0.813511848449707,2039.0,10.0,-7.0,1.0,5.441124656289583,20390,20390.0,144.370840549469
14254.78487610817,1.07656991481781,-0.328125,0.007930408231914043,-0.959112286567688,-0.9835905432701111,-0.9713513255119324,-0.995018482208252,2040.0,10.0,-6.0,1.0,5.58479140105656,20400,20400.0,146.1626546382904
